 time            v(Q)            v(A)-v(B)       v(B)           
 0.00000000e+00  4.64709949e-09  7.00000000e-01  0.00000000e+00 
 1.00000000e-09  4.64743184e-09  7.00000004e-01  0.00000000e+00 
 2.00000000e-09  4.64743361e-09  7.00000008e-01  0.00000000e+00 
 4.00000000e-09  4.64743351e-09  7.00000016e-01  0.00000000e+00 
 8.00000000e-09  4.64743325e-09  7.00000032e-01  0.00000000e+00 
 1.60000000e-08  4.64743276e-09  7.00000064e-01  0.00000000e+00 
 3.20000000e-08  4.64743169e-09  7.00000128e-01  0.00000000e+00 
 6.40000000e-08  4.64742977e-09  7.00000256e-01  0.00000000e+00 
 1.00000000e-07  4.64742748e-09  7.00000400e-01  0.00000000e+00 
 1.00010000e-07  1.54523446e-05  7.00000400e-01  0.00000000e+00 
 1.00030000e-07 -5.73567550e-06  7.00000400e-01  0.00000000e+00 
 1.00070000e-07 -1.03898915e-05  7.00000400e-01  0.00000000e+00 
 1.00100000e-07 -2.24606700e-06  7.00000400e-01  0.00000000e+00 
 1.00108000e-07  2.24699388e-06  7.00000400e-01  0.00000000e+00 
 1.00124000e-07  8.76423050e-06  7.00000400e-01  0.00000000e+00 
 1.00156000e-07  5.30304646e-07  7.00000401e-01  0.00000000e+00 
 1.00220000e-07 -1.23223641e-07  7.00000401e-01  0.00000000e+00 
 1.00348000e-07  3.04238462e-08  7.00000401e-01  0.00000000e+00 
 1.00604000e-07 -5.76747944e-09  7.00000402e-01  0.00000000e+00 
 1.01116000e-07 -1.17440281e-08  7.00000404e-01  0.00000000e+00 
 1.02140000e-07  3.62894899e-08  7.00000409e-01  0.00000000e+00 
 1.04188000e-07  1.64463176e+00  7.00000417e-01  0.00000000e+00 
 1.06146461e-07  1.74726870e+00  7.00000425e-01  0.00000000e+00 
 1.08147488e-07  1.65254816e+00  7.00000433e-01  0.00000000e+00 
 1.11546247e-07  1.74305357e+00  7.00000446e-01  0.00000000e+00 
 1.16048320e-07  1.65551913e+00  7.00000464e-01  0.00000000e+00 
 1.25052467e-07  1.74139652e+00  7.00000500e-01  0.00000000e+00 
 1.38773031e-07  1.65652977e+00  7.00000555e-01  0.00000000e+00 
 1.62436971e-07  1.74083600e+00  7.00000650e-01  0.00000000e+00 
 2.09764852e-07  1.65687258e+00  7.00000839e-01  0.00000000e+00 
 2.99975198e-07  1.74068171e+00  7.00001200e-01  0.00000000e+00 
 4.80395889e-07  1.65696198e+00  7.00001922e-01  0.00000000e+00 
 8.41237270e-07  1.74064234e+00  7.00003365e-01  0.00000000e+00 
 1.56292003e-06  1.65698430e+00  7.00006252e-01  0.00000000e+00 
 3.00628556e-06  1.74063236e+00  7.00012025e-01  0.00000000e+00 
 5.00628556e-06  1.65699051e+00  7.00020025e-01  0.00000000e+00 
 7.00628556e-06  1.74062548e+00  7.00028025e-01  0.00000000e+00 
 9.00628556e-06  1.65699584e+00  7.00036025e-01  0.00000000e+00 
 1.10062856e-05  1.74062068e+00  7.00044025e-01  0.00000000e+00 
 1.30062856e-05  1.65700121e+00  7.00052025e-01  0.00000000e+00 
 1.50062856e-05  1.74061589e+00  7.00060025e-01  0.00000000e+00 
 1.70062856e-05  1.65700657e+00  7.00068025e-01  0.00000000e+00 
 1.90062856e-05  1.74061109e+00  7.00076025e-01  0.00000000e+00 
 2.10062856e-05  1.65701194e+00  7.00084025e-01  0.00000000e+00 
 2.30062856e-05  1.74060630e+00  7.00092025e-01  0.00000000e+00 
 2.50062856e-05  1.65701730e+00  7.00100025e-01  0.00000000e+00 
 2.70062856e-05  1.74060151e+00  7.00108025e-01  0.00000000e+00 
 2.90062856e-05  1.65702267e+00  7.00116025e-01  0.00000000e+00 
 3.10062856e-05  1.74059671e+00  7.00124025e-01  0.00000000e+00 
 3.30062856e-05  1.65702803e+00  7.00132025e-01  0.00000000e+00 
 3.50062856e-05  1.74059192e+00  7.00140025e-01  0.00000000e+00 
 3.70062856e-05  1.65703339e+00  7.00148025e-01  0.00000000e+00 
 3.90062856e-05  1.74058713e+00  7.00156025e-01  0.00000000e+00 
 4.10062856e-05  1.65703876e+00  7.00164025e-01  0.00000000e+00 
 4.30062856e-05  1.74058234e+00  7.00172025e-01  0.00000000e+00 
 4.50062856e-05  1.65704412e+00  7.00180025e-01  0.00000000e+00 
 4.70062856e-05  1.74057754e+00  7.00188025e-01  0.00000000e+00 
 4.90062856e-05  1.65704948e+00  7.00196025e-01  0.00000000e+00 
 5.10062856e-05  1.74057275e+00  7.00204025e-01  0.00000000e+00 
 5.30062856e-05  1.65705484e+00  7.00212025e-01  0.00000000e+00 
 5.50062856e-05  1.74056796e+00  7.00220025e-01  0.00000000e+00 
 5.70062856e-05  1.65706020e+00  7.00228025e-01  0.00000000e+00 
 5.90062856e-05  1.74056317e+00  7.00236025e-01  0.00000000e+00 
 6.10062856e-05  1.65706556e+00  7.00244025e-01  0.00000000e+00 
 6.30062856e-05  1.74055838e+00  7.00252025e-01  0.00000000e+00 
 6.50062856e-05  1.65707092e+00  7.00260025e-01  0.00000000e+00 
 6.70062856e-05  1.74055360e+00  7.00268025e-01  0.00000000e+00 
 6.90062856e-05  1.65707628e+00  7.00276025e-01  0.00000000e+00 
 7.10062856e-05  1.74054881e+00  7.00284025e-01  0.00000000e+00 
 7.30062856e-05  1.65708164e+00  7.00292025e-01  0.00000000e+00 
 7.50062856e-05  1.74054402e+00  7.00300025e-01  0.00000000e+00 
 7.70062856e-05  1.65708699e+00  7.00308025e-01  0.00000000e+00 
 7.90062856e-05  1.74053923e+00  7.00316025e-01  0.00000000e+00 
 8.10062856e-05  1.65709235e+00  7.00324025e-01  0.00000000e+00 
 8.30062856e-05  1.74053444e+00  7.00332025e-01  0.00000000e+00 
 8.50062856e-05  1.65709770e+00  7.00340025e-01  0.00000000e+00 
 8.70062856e-05  1.74052966e+00  7.00348025e-01  0.00000000e+00 
 8.90062856e-05  1.65710306e+00  7.00356025e-01  0.00000000e+00 
 9.10062856e-05  1.74052487e+00  7.00364025e-01  0.00000000e+00 
 9.30062856e-05  1.65710841e+00  7.00372025e-01  0.00000000e+00 
 9.50062856e-05  1.74052009e+00  7.00380025e-01  0.00000000e+00 
 9.70062856e-05  1.65711377e+00  7.00388025e-01  0.00000000e+00 
 9.90062856e-05  1.74051530e+00  7.00396025e-01  0.00000000e+00 
 1.01006286e-04  1.65711912e+00  7.00404025e-01  0.00000000e+00 
 1.03006286e-04  1.74051052e+00  7.00412025e-01  0.00000000e+00 
 1.05006286e-04  1.65712448e+00  7.00420025e-01  0.00000000e+00 
 1.07006286e-04  1.74050573e+00  7.00428025e-01  0.00000000e+00 
 1.09006286e-04  1.65712983e+00  7.00436025e-01  0.00000000e+00 
 1.11006286e-04  1.74050095e+00  7.00444025e-01  0.00000000e+00 
 1.13006286e-04  1.65713518e+00  7.00452025e-01  0.00000000e+00 
 1.15006286e-04  1.74049617e+00  7.00460025e-01  0.00000000e+00 
 1.17006286e-04  1.65714053e+00  7.00468025e-01  0.00000000e+00 
 1.19006286e-04  1.74049138e+00  7.00476025e-01  0.00000000e+00 
 1.21006286e-04  1.65714588e+00  7.00484025e-01  0.00000000e+00 
 1.23006286e-04  1.74048660e+00  7.00492025e-01  0.00000000e+00 
 1.25006286e-04  1.65715123e+00  7.00500025e-01  0.00000000e+00 
 1.27006286e-04  1.74048182e+00  7.00508025e-01  0.00000000e+00 
 1.29006286e-04  1.65715658e+00  7.00516025e-01  0.00000000e+00 
 1.31006286e-04  1.74047704e+00  7.00524025e-01  0.00000000e+00 
 1.33006286e-04  1.65716193e+00  7.00532025e-01  0.00000000e+00 
 1.35006286e-04  1.74047226e+00  7.00540025e-01  0.00000000e+00 
 1.37006286e-04  1.65716728e+00  7.00548025e-01  0.00000000e+00 
 1.39006286e-04  1.74046748e+00  7.00556025e-01  0.00000000e+00 
 1.41006286e-04  1.65717262e+00  7.00564025e-01  0.00000000e+00 
 1.43006286e-04  1.74046270e+00  7.00572025e-01  0.00000000e+00 
 1.45006286e-04  1.65717797e+00  7.00580025e-01  0.00000000e+00 
 1.47006286e-04  1.74045792e+00  7.00588025e-01  0.00000000e+00 
 1.49006286e-04  1.65718332e+00  7.00596025e-01  0.00000000e+00 
 1.51006286e-04  1.74045314e+00  7.00604025e-01  0.00000000e+00 
 1.53006286e-04  1.65718866e+00  7.00612025e-01  0.00000000e+00 
 1.55006286e-04  1.74044836e+00  7.00620025e-01  0.00000000e+00 
 1.57006286e-04  1.65719401e+00  7.00628025e-01  0.00000000e+00 
 1.59006286e-04  1.74044358e+00  7.00636025e-01  0.00000000e+00 
 1.61006286e-04  1.65719935e+00  7.00644025e-01  0.00000000e+00 
 1.63006286e-04  1.74043881e+00  7.00652025e-01  0.00000000e+00 
 1.65006286e-04  1.65720470e+00  7.00660025e-01  0.00000000e+00 
 1.67006286e-04  1.74043403e+00  7.00668025e-01  0.00000000e+00 
 1.69006286e-04  1.65721004e+00  7.00676025e-01  0.00000000e+00 
 1.71006286e-04  1.74042925e+00  7.00684025e-01  0.00000000e+00 
 1.73006286e-04  1.65721538e+00  7.00692025e-01  0.00000000e+00 
 1.75006286e-04  1.74042448e+00  7.00700025e-01  0.00000000e+00 
 1.77006286e-04  1.65722072e+00  7.00708025e-01  0.00000000e+00 
 1.79006286e-04  1.74041970e+00  7.00716025e-01  0.00000000e+00 
 1.81006286e-04  1.65722606e+00  7.00724025e-01  0.00000000e+00 
 1.83006286e-04  1.74041493e+00  7.00732025e-01  0.00000000e+00 
 1.85006286e-04  1.65723140e+00  7.00740025e-01  0.00000000e+00 
 1.87006286e-04  1.74041015e+00  7.00748025e-01  0.00000000e+00 
 1.89006286e-04  1.65723674e+00  7.00756025e-01  0.00000000e+00 
 1.91006286e-04  1.74040538e+00  7.00764025e-01  0.00000000e+00 
 1.93006286e-04  1.65724208e+00  7.00772025e-01  0.00000000e+00 
 1.95006286e-04  1.74040061e+00  7.00780025e-01  0.00000000e+00 
 1.97006286e-04  1.65724742e+00  7.00788025e-01  0.00000000e+00 
 1.99006286e-04  1.74039583e+00  7.00796025e-01  0.00000000e+00 
 2.00000000e-04  1.65731035e+00  7.00800000e-01  0.00000000e+00 
 2.00146876e-04  1.69999070e+00 -9.91994125e-02  8.00000000e-01 
 2.00440627e-04  1.70000925e+00 -9.91982375e-02  8.00000000e-01 
 2.00755434e-04  1.69999070e+00 -9.91969783e-02  8.00000000e-01 
 2.01094050e-04  1.70000924e+00 -9.91956238e-02  8.00000000e-01 
 2.01771281e-04  1.69999071e+00 -9.91929149e-02  8.00000000e-01 
 2.03125745e-04  1.70000924e+00 -9.91874970e-02  8.00000000e-01 
 2.05125745e-04  1.69999071e+00 -9.91794970e-02  8.00000000e-01 
 2.07125745e-04  1.70000924e+00 -9.91714970e-02  8.00000000e-01 
 2.09125745e-04  1.69999071e+00 -9.91634970e-02  8.00000000e-01 
 2.11125745e-04  1.70000924e+00 -9.91554970e-02  8.00000000e-01 
 2.13125745e-04  1.69999071e+00 -9.91474970e-02  8.00000000e-01 
