 time            v(Q)            v(A)-v(B)       v(B)           
 0.00000000e+00  1.79999999e+00  6.00000000e-01  0.00000000e+00 
 1.00000000e-09  1.79999999e+00  6.00000008e-01  0.00000000e+00 
 2.00000000e-09  1.79999999e+00  6.00000016e-01  0.00000000e+00 
 4.00000000e-09  1.79999999e+00  6.00000032e-01  0.00000000e+00 
 8.00000000e-09  1.79999999e+00  6.00000064e-01  0.00000000e+00 
 1.60000000e-08  1.79999999e+00  6.00000128e-01  0.00000000e+00 
 3.20000000e-08  1.79999999e+00  6.00000256e-01  0.00000000e+00 
 6.40000000e-08  1.79999999e+00  6.00000512e-01  0.00000000e+00 
 1.00000000e-07  1.79999999e+00  6.00000800e-01  0.00000000e+00 
 1.00010000e-07  1.80001197e+00  6.00000800e-01  0.00000000e+00 
 1.00030000e-07  1.79998758e+00  6.00000800e-01  0.00000000e+00 
 1.00070000e-07  1.79993235e+00  6.00000801e-01  0.00000000e+00 
 1.00100000e-07  1.80005519e+00  6.00000801e-01  0.00000000e+00 
 1.00107641e-07  1.80035241e+00  6.00000801e-01  0.00000000e+00 
 1.00122924e-07  1.80041774e+00  6.00000801e-01  0.00000000e+00 
 1.00153489e-07  1.79994269e+00  6.00000801e-01  0.00000000e+00 
 1.00214620e-07  1.79903298e+00  6.00000802e-01  0.00000000e+00 
 1.00290707e-07  1.77099753e+00  6.00000802e-01  0.00000000e+00 
 1.00377262e-07  1.81095069e+00  6.00000803e-01  0.00000000e+00 
 1.00470606e-07  1.79368822e+00  6.00000804e-01  0.00000000e+00 
 1.00657294e-07  1.80408168e+00  6.00000805e-01  0.00000000e+00 
 1.00840665e-07  1.79737279e+00  6.00000807e-01  0.00000000e+00 
 1.01207408e-07  1.80180956e+00  6.00000810e-01  0.00000000e+00 
 1.01704427e-07  1.79859794e+00  6.00000814e-01  0.00000000e+00 
 1.02515369e-07  1.80106369e+00  6.00000820e-01  0.00000000e+00 
 1.04137253e-07  1.79902526e+00  6.00000833e-01  0.00000000e+00 
