 time            v(Q)            v(A)-v(B)       v(B)           
 0.00000000e+00  1.79999999e+00 -1.00000000e+00  1.00000000e+00 
 2.00000000e-11  1.79999999e+00 -1.00000020e+00  1.00000020e+00 
 4.00000000e-11  1.79999999e+00 -1.00000040e+00  1.00000040e+00 
 8.00000000e-11  1.79999999e+00 -1.00000080e+00  1.00000080e+00 
 1.60000000e-10  1.79999999e+00 -1.00000160e+00  1.00000160e+00 
 3.20000000e-10  1.79999999e+00 -1.00000320e+00  1.00000320e+00 
 6.40000000e-10  1.79999999e+00 -1.00000640e+00  1.00000640e+00 
 1.28000000e-09  1.79999999e+00 -1.00001280e+00  1.00001280e+00 
 2.56000000e-09  1.79999999e+00 -1.00002560e+00  1.00002560e+00 
 4.56000000e-09  1.79999999e+00 -1.00004560e+00  1.00004560e+00 
 6.56000000e-09  1.79999999e+00 -1.00006560e+00  1.00006560e+00 
 8.56000000e-09  1.79999999e+00 -1.00008560e+00  1.00008560e+00 
 1.05600000e-08  1.79999999e+00 -1.00010560e+00  1.00010560e+00 
 1.25600000e-08  1.79999999e+00 -1.00012560e+00  1.00012560e+00 
 1.45600000e-08  1.79999999e+00 -1.00014560e+00  1.00014560e+00 
 1.65600000e-08  1.79999999e+00 -1.00016560e+00  1.00016560e+00 
 1.85600000e-08  1.79999999e+00 -1.00018560e+00  1.00018560e+00 
 2.05600000e-08  1.79999999e+00 -1.00020560e+00  1.00020560e+00 
 2.25600000e-08  1.79999999e+00 -1.00022560e+00  1.00022560e+00 
 2.45600000e-08  1.79999999e+00 -1.00024560e+00  1.00024560e+00 
 2.65600000e-08  1.79999999e+00 -1.00026560e+00  1.00026560e+00 
 2.85600000e-08  1.79999999e+00 -1.00028560e+00  1.00028560e+00 
 3.05600000e-08  1.79999999e+00 -1.00030560e+00  1.00030560e+00 
 3.25600000e-08  1.79999999e+00 -1.00032560e+00  1.00032560e+00 
 3.45600000e-08  1.79999999e+00 -1.00034560e+00  1.00034560e+00 
 3.65600000e-08  1.79999999e+00 -1.00036560e+00  1.00036560e+00 
 3.85600000e-08  1.79999999e+00 -1.00038560e+00  1.00038560e+00 
 4.05600000e-08  1.79999999e+00 -1.00040560e+00  1.00040560e+00 
 4.25600000e-08  1.79999999e+00 -1.00042560e+00  1.00042560e+00 
 4.45600000e-08  1.79999999e+00 -1.00044560e+00  1.00044560e+00 
 4.65600000e-08  1.79999999e+00 -1.00046560e+00  1.00046560e+00 
 4.85600000e-08  1.79999999e+00 -1.00048560e+00  1.00048560e+00 
 5.05600000e-08  1.79999999e+00 -1.00050560e+00  1.00050560e+00 
 5.25600000e-08  1.79999999e+00 -1.00052560e+00  1.00052560e+00 
 5.45600000e-08  1.79999999e+00 -1.00054560e+00  1.00054560e+00 
 5.65600000e-08  1.79999999e+00 -1.00056560e+00  1.00056560e+00 
 5.85600000e-08  1.79999999e+00 -1.00058560e+00  1.00058560e+00 
 6.05600000e-08  1.79999999e+00 -1.00060560e+00  1.00060560e+00 
 6.25600000e-08  1.79999999e+00 -1.00062560e+00  1.00062560e+00 
 6.45600000e-08  1.79999999e+00 -1.00064560e+00  1.00064560e+00 
 6.65600000e-08  1.79999999e+00 -1.00066560e+00  1.00066560e+00 
 6.85600000e-08  1.79999999e+00 -1.00068560e+00  1.00068560e+00 
 7.05600000e-08  1.79999999e+00 -1.00070560e+00  1.00070560e+00 
 7.25600000e-08  1.79999999e+00 -1.00072560e+00  1.00072560e+00 
 7.45600000e-08  1.79999999e+00 -1.00074560e+00  1.00074560e+00 
 7.65600000e-08  1.79999999e+00 -1.00076560e+00  1.00076560e+00 
 7.85600000e-08  1.79999999e+00 -1.00078560e+00  1.00078560e+00 
 8.05600000e-08  1.79999999e+00 -1.00080560e+00  1.00080560e+00 
 8.25600000e-08  1.79999999e+00 -1.00082560e+00  1.00082560e+00 
 8.45600000e-08  1.79999999e+00 -1.00084560e+00  1.00084560e+00 
 8.65600000e-08  1.79999999e+00 -1.00086560e+00  1.00086560e+00 
 8.85600000e-08  1.79999999e+00 -1.00088560e+00  1.00088560e+00 
 9.05600000e-08  1.79999999e+00 -1.00090560e+00  1.00090560e+00 
 9.25600000e-08  1.79999999e+00 -1.00092560e+00  1.00092560e+00 
 9.45600000e-08  1.79999999e+00 -1.00094560e+00  1.00094560e+00 
 9.65600000e-08  1.79999999e+00 -1.00096560e+00  1.00096560e+00 
 9.85600000e-08  1.79999999e+00 -1.00098560e+00  1.00098560e+00 
 1.00000000e-07  1.79999999e+00 -1.00100000e+00  1.00100000e+00 
 1.00010000e-07  1.80001132e+00 -1.00100010e+00  1.00100010e+00 
 1.00030000e-07  1.79998736e+00 -1.00100030e+00  1.00100030e+00 
 1.00070000e-07  1.79994071e+00 -1.00100070e+00  1.00100070e+00 
 1.00100000e-07  1.80005343e+00 -1.00100100e+00  1.00100100e+00 
 1.00107614e-07  1.80029266e+00 -1.00100108e+00  1.00100108e+00 
 1.00122843e-07  1.80050510e+00 -1.00100123e+00  1.00100123e+00 
 1.00153301e-07  1.79970469e+00 -1.00100153e+00  1.00100153e+00 
 1.00214216e-07  1.79819998e+00 -1.00100214e+00  1.00100214e+00 
 1.00292066e-07  1.44343880e+00 -1.00100292e+00  1.00100292e+00 
 1.00385854e-07  9.46847206e-02 -1.00100386e+00  1.00100386e+00 
 1.00483930e-07 -7.03816027e-02 -1.00100484e+00  1.00100484e+00 
 1.00601113e-07  5.99146226e-02 -1.00100601e+00  1.00100601e+00 
 1.00778695e-07 -5.14749834e-02 -1.00100779e+00  1.00100779e+00 
 1.01070949e-07  4.88334669e-02 -1.00101071e+00  1.00101071e+00 
 1.01488533e-07 -4.54469832e-02 -1.00101489e+00  1.00101489e+00 
 1.02191280e-07  4.49075581e-02 -1.00102191e+00  1.00102191e+00 
 1.03271875e-07 -4.32411830e-02 -1.00103272e+00  1.00103272e+00 
 1.05241158e-07  4.35304592e-02 -1.00105241e+00  1.00105241e+00 
 1.07241158e-07 -4.23311623e-02 -1.00107241e+00  1.00107241e+00 
 1.09241158e-07  4.25974899e-02 -1.00109241e+00  1.00109241e+00 
 1.11241158e-07 -4.14711630e-02 -1.00111241e+00  1.00111241e+00 
 1.13241158e-07  4.16890141e-02 -1.00113241e+00  1.00113241e+00 
 1.15241158e-07 -4.06078979e-02 -1.00115241e+00  1.00115241e+00 
 1.17241158e-07  4.08027164e-02 -1.00117241e+00  1.00117241e+00 
 1.19241158e-07 -3.97646517e-02 -1.00119241e+00  1.00119241e+00 
 1.21241158e-07  3.99379453e-02 -1.00121241e+00  1.00121241e+00 
 1.23241158e-07 -3.89408788e-02 -1.00123241e+00  1.00123241e+00 
 1.25241158e-07  3.90940625e-02 -1.00125241e+00  1.00125241e+00 
 1.27241158e-07 -3.81360505e-02 -1.00127241e+00  1.00127241e+00 
 1.29241158e-07  3.82704530e-02 -1.00129241e+00  1.00129241e+00 
 1.31241158e-07 -3.73496554e-02 -1.00131241e+00  1.00131241e+00 
 1.33241158e-07  3.74665245e-02 -1.00133241e+00  1.00133241e+00 
 1.35241158e-07 -3.65811986e-02 -1.00135241e+00  1.00135241e+00 
 1.37241158e-07  3.66817064e-02 -1.00137241e+00  1.00137241e+00 
 1.39241158e-07 -3.58302014e-02 -1.00139241e+00  1.00139241e+00 
 1.41241158e-07  3.59154483e-02 -1.00141241e+00  1.00141241e+00 
 1.43241158e-07 -3.50962007e-02 -1.00143241e+00  1.00143241e+00 
 1.45241158e-07  3.51672199e-02 -1.00145241e+00  1.00145241e+00 
 1.47241158e-07 -3.43787477e-02 -1.00147241e+00  1.00147241e+00 
 1.49241158e-07  3.44365094e-02 -1.00149241e+00  1.00149241e+00 
 1.51241158e-07 -3.36774084e-02 -1.00151241e+00  1.00151241e+00 
 1.53241158e-07  3.37228233e-02 -1.00153241e+00  1.00153241e+00 
 1.55241158e-07 -3.29917621e-02 -1.00155241e+00  1.00155241e+00 
 1.57241158e-07  3.30256852e-02 -1.00157241e+00  1.00157241e+00 
 1.59241158e-07 -3.23214013e-02 -1.00159241e+00  1.00159241e+00 
 1.61241158e-07  3.23446353e-02 -1.00161241e+00  1.00161241e+00 
 1.63241158e-07 -3.16659313e-02 -1.00163241e+00  1.00163241e+00 
 1.65241158e-07  3.16792296e-02 -1.00165241e+00  1.00165241e+00 
 1.67241158e-07 -3.10249696e-02 -1.00167241e+00  1.00167241e+00 
 1.69241158e-07  3.10290394e-02 -1.00169241e+00  1.00169241e+00 
 1.71241158e-07 -3.03917304e-02 -1.00171241e+00  1.00171241e+00 
 1.73241158e-07  3.03937355e-02 -1.00173241e+00  1.00173241e+00 
 1.75241158e-07 -2.97851787e-02 -1.00175241e+00  1.00175241e+00 
 1.77241158e-07  2.97727444e-02 -1.00177241e+00  1.00177241e+00 
 1.79241158e-07 -2.91855592e-02 -1.00179241e+00  1.00179241e+00 
 1.81241158e-07  2.91657672e-02 -1.00181241e+00  1.00181241e+00 
 1.83241158e-07 -2.85990309e-02 -1.00183241e+00  1.00183241e+00 
 1.85241158e-07  2.85724299e-02 -1.00185241e+00  1.00185241e+00 
 1.87241158e-07 -2.80252661e-02 -1.00187241e+00  1.00187241e+00 
