 time            v(Q)            v(A)-v(B)       v(B)           
 0.00000000e+00  1.07063102e-08 -1.70000000e+00  1.70000000e+00 
 2.00000000e-11  1.07263882e-08 -1.70000020e+00  1.70000020e+00 
 4.00000000e-11  1.07034599e-08 -1.70000040e+00  1.70000040e+00 
 8.00000000e-11  1.06948642e-08 -1.70000080e+00  1.70000080e+00 
 1.60000000e-10  1.07147202e-08 -1.70000160e+00  1.70000160e+00 
 3.20000000e-10  1.06994129e-08 -1.70000320e+00  1.70000320e+00 
 6.40000000e-10  1.07124983e-08 -1.70000640e+00  1.70000640e+00 
 1.28000000e-09  1.07004627e-08 -1.70001280e+00  1.70001280e+00 
 2.56000000e-09  1.07119910e-08 -1.70002560e+00  1.70002560e+00 
 4.56000000e-09  1.07007346e-08 -1.70004560e+00  1.70004560e+00 
 6.56000000e-09  1.07117814e-08 -1.70006560e+00  1.70006560e+00 
 8.56000000e-09  1.07009422e-08 -1.70008560e+00  1.70008560e+00 
 1.05600000e-08  1.07115759e-08 -1.70010560e+00  1.70010560e+00 
 1.25600000e-08  1.07011458e-08 -1.70012560e+00  1.70012560e+00 
 1.45600000e-08  1.07113745e-08 -1.70014560e+00  1.70014560e+00 
 1.65600000e-08  1.07013450e-08 -1.70016560e+00  1.70016560e+00 
 1.85600000e-08  1.07111773e-08 -1.70018560e+00  1.70018560e+00 
 2.05600000e-08  1.07015401e-08 -1.70020560e+00  1.70020560e+00 
 2.25600000e-08  1.07109843e-08 -1.70022560e+00  1.70022560e+00 
 2.45600000e-08  1.07017309e-08 -1.70024560e+00  1.70024560e+00 
 2.65600000e-08  1.07107956e-08 -1.70026560e+00  1.70026560e+00 
 2.85600000e-08  1.07019176e-08 -1.70028560e+00  1.70028560e+00 
 3.05600000e-08  1.07106111e-08 -1.70030560e+00  1.70030560e+00 
 3.25600000e-08  1.07020999e-08 -1.70032560e+00  1.70032560e+00 
 3.45600000e-08  1.07104307e-08 -1.70034560e+00  1.70034560e+00 
 3.65600000e-08  1.07022782e-08 -1.70036560e+00  1.70036560e+00 
 3.85600000e-08  1.07102547e-08 -1.70038560e+00  1.70038560e+00 
 4.05600000e-08  1.07024522e-08 -1.70040560e+00  1.70040560e+00 
 4.25600000e-08  1.07100827e-08 -1.70042560e+00  1.70042560e+00 
 4.45600000e-08  1.07026221e-08 -1.70044560e+00  1.70044560e+00 
 4.65600000e-08  1.07099149e-08 -1.70046560e+00  1.70046560e+00 
 4.85600000e-08  1.07027878e-08 -1.70048560e+00  1.70048560e+00 
 5.05600000e-08  1.07097512e-08 -1.70050560e+00  1.70050560e+00 
 5.25600000e-08  1.07029493e-08 -1.70052560e+00  1.70052560e+00 
 5.45600000e-08  1.07095917e-08 -1.70054560e+00  1.70054560e+00 
 5.65600000e-08  1.07031069e-08 -1.70056560e+00  1.70056560e+00 
 5.85600000e-08  1.07094362e-08 -1.70058560e+00  1.70058560e+00 
 6.05600000e-08  1.07032603e-08 -1.70060560e+00  1.70060560e+00 
 6.25600000e-08  1.07092847e-08 -1.70062560e+00  1.70062560e+00 
 6.45600000e-08  1.07034099e-08 -1.70064560e+00  1.70064560e+00 
 6.65600000e-08  1.07091372e-08 -1.70066560e+00  1.70066560e+00 
 6.85600000e-08  1.07035554e-08 -1.70068560e+00  1.70068560e+00 
 7.05600000e-08  1.07089936e-08 -1.70070560e+00  1.70070560e+00 
 7.25600000e-08  1.07036970e-08 -1.70072560e+00  1.70072560e+00 
 7.45600000e-08  1.07088540e-08 -1.70074560e+00  1.70074560e+00 
 7.65600000e-08  1.07038348e-08 -1.70076560e+00  1.70076560e+00 
 7.85600000e-08  1.07087180e-08 -1.70078560e+00  1.70078560e+00 
 8.05600000e-08  1.07039688e-08 -1.70080560e+00  1.70080560e+00 
 8.25600000e-08  1.07085860e-08 -1.70082560e+00  1.70082560e+00 
 8.45600000e-08  1.07040990e-08 -1.70084560e+00  1.70084560e+00 
 8.65600000e-08  1.07084575e-08 -1.70086560e+00  1.70086560e+00 
 8.85600000e-08  1.07042257e-08 -1.70088560e+00  1.70088560e+00 
 9.05600000e-08  1.07083328e-08 -1.70090560e+00  1.70090560e+00 
 9.25600000e-08  1.07043486e-08 -1.70092560e+00  1.70092560e+00 
 9.45600000e-08  1.07082116e-08 -1.70094560e+00  1.70094560e+00 
 9.65600000e-08  1.07044680e-08 -1.70096560e+00  1.70096560e+00 
 9.85600000e-08  1.07080940e-08 -1.70098560e+00  1.70098560e+00 
 1.00000000e-07  1.07046060e-08 -1.70100000e+00  1.70100000e+00 
 1.00010000e-07  1.31868327e-05 -1.70100010e+00  1.70100010e+00 
 1.00030000e-07 -1.33780936e-05 -1.70100030e+00  1.70100030e+00 
 1.00070000e-07 -8.42031917e-05 -1.70100070e+00  1.70100070e+00 
 1.00100000e-07  1.07974749e-04 -1.70100100e+00  1.70100100e+00 
 1.00107583e-07  3.45618662e-04 -1.70100108e+00  1.70100108e+00 
 1.00122748e-07  2.66901090e-04 -1.70100123e+00  1.70100123e+00 
 1.00153078e-07 -1.48559657e-04 -1.70100153e+00  1.70100153e+00 
 1.00213738e-07 -2.25769715e-03 -1.70100214e+00  1.70100214e+00 
 1.00290647e-07 -3.12872209e-03 -1.70100291e+00  1.70100291e+00 
 1.00380713e-07  5.20499197e-03 -1.70100381e+00  1.70100381e+00 
 1.00478256e-07 -5.66972245e-03 -1.70100478e+00  1.70100478e+00 
