 time            v(Q)            v(A)-v(B)       v(B)           
 0.00000000e+00  1.79999999e+00  5.00000000e-01  0.00000000e+00 
 1.00000000e-09  1.79999999e+00  5.00000004e-01  0.00000000e+00 
 2.00000000e-09  1.79999999e+00  5.00000008e-01  0.00000000e+00 
 4.00000000e-09  1.79999999e+00  5.00000016e-01  0.00000000e+00 
 8.00000000e-09  1.79999999e+00  5.00000032e-01  0.00000000e+00 
 1.60000000e-08  1.79999999e+00  5.00000064e-01  0.00000000e+00 
 3.20000000e-08  1.79999999e+00  5.00000128e-01  0.00000000e+00 
 6.40000000e-08  1.79999999e+00  5.00000256e-01  0.00000000e+00 
 1.00000000e-07  1.79999999e+00  5.00000400e-01  0.00000000e+00 
 1.00010000e-07  1.80001204e+00  5.00000400e-01  0.00000000e+00 
 1.00030000e-07  1.79998744e+00  5.00000400e-01  0.00000000e+00 
 1.00070000e-07  1.79993220e+00  5.00000400e-01  0.00000000e+00 
 1.00100000e-07  1.80005809e+00  5.00000400e-01  0.00000000e+00 
 1.00107642e-07  1.80038559e+00  5.00000400e-01  0.00000000e+00 
 1.00122925e-07  1.80048144e+00  5.00000400e-01  0.00000000e+00 
 1.00153493e-07  1.79986011e+00  5.00000401e-01  0.00000000e+00 
 1.00214627e-07  1.79961022e+00  5.00000401e-01  0.00000000e+00 
 1.00289080e-07  1.77565834e+00  5.00000401e-01  0.00000000e+00 
 1.00386821e-07  1.80104856e+00  5.00000402e-01  0.00000000e+00 
 1.00492576e-07  1.80077954e+00  5.00000402e-01  0.00000000e+00 
 1.00670769e-07  1.79848385e+00  5.00000403e-01  0.00000000e+00 
 1.00855068e-07  1.80217514e+00  5.00000403e-01  0.00000000e+00 
 1.01223666e-07  1.79762159e+00  5.00000405e-01  0.00000000e+00 
 1.01796625e-07  1.80259457e+00  5.00000407e-01  0.00000000e+00 
 1.02689490e-07  1.79737409e+00  5.00000411e-01  0.00000000e+00 
 1.04317680e-07  1.80273967e+00  5.00000417e-01  0.00000000e+00 
 1.07574061e-07  1.79730002e+00  5.00000430e-01  0.00000000e+00 
 1.13428103e-07  1.80277799e+00  5.00000454e-01  0.00000000e+00 
 1.24823671e-07  1.79727970e+00  5.00000499e-01  0.00000000e+00 
 1.47614806e-07  1.80278843e+00  5.00000590e-01  0.00000000e+00 
 1.93197076e-07  1.79727455e+00  5.00000773e-01  0.00000000e+00 
 2.84361615e-07  1.80279103e+00  5.00001137e-01  0.00000000e+00 
 4.66690695e-07  1.79727327e+00  5.00001867e-01  0.00000000e+00 
 8.31348854e-07  1.80279168e+00  5.00003325e-01  0.00000000e+00 
 1.56066517e-06  1.79727295e+00  5.00006243e-01  0.00000000e+00 
 3.01929781e-06  1.80279184e+00  5.00012077e-01  0.00000000e+00 
 5.01929781e-06  1.79727286e+00  5.00020077e-01  0.00000000e+00 
 7.01929781e-06  1.80279192e+00  5.00028077e-01  0.00000000e+00 
 9.01929781e-06  1.79727278e+00  5.00036077e-01  0.00000000e+00 
 1.10192978e-05  1.80279200e+00  5.00044077e-01  0.00000000e+00 
 1.30192978e-05  1.79727270e+00  5.00052077e-01  0.00000000e+00 
 1.50192978e-05  1.80279208e+00  5.00060077e-01  0.00000000e+00 
 1.70192978e-05  1.79727262e+00  5.00068077e-01  0.00000000e+00 
 1.90192978e-05  1.80279216e+00  5.00076077e-01  0.00000000e+00 
 2.10192978e-05  1.79727254e+00  5.00084077e-01  0.00000000e+00 
 2.30192978e-05  1.80279223e+00  5.00092077e-01  0.00000000e+00 
 2.50192978e-05  1.79727247e+00  5.00100077e-01  0.00000000e+00 
 2.70192978e-05  1.80279231e+00  5.00108077e-01  0.00000000e+00 
 2.90192978e-05  1.79727239e+00  5.00116077e-01  0.00000000e+00 
 3.10192978e-05  1.80279239e+00  5.00124077e-01  0.00000000e+00 
 3.30192978e-05  1.79727231e+00  5.00132077e-01  0.00000000e+00 
 3.50192978e-05  1.80279247e+00  5.00140077e-01  0.00000000e+00 
 3.70192978e-05  1.79727223e+00  5.00148077e-01  0.00000000e+00 
 3.90192978e-05  1.80279255e+00  5.00156077e-01  0.00000000e+00 
 4.10192978e-05  1.79727216e+00  5.00164077e-01  0.00000000e+00 
 4.30192978e-05  1.80279263e+00  5.00172077e-01  0.00000000e+00 
 4.50192978e-05  1.79727208e+00  5.00180077e-01  0.00000000e+00 
 4.70192978e-05  1.80279271e+00  5.00188077e-01  0.00000000e+00 
 4.90192978e-05  1.79727200e+00  5.00196077e-01  0.00000000e+00 
 5.10192978e-05  1.80279279e+00  5.00204077e-01  0.00000000e+00 
 5.30192978e-05  1.79727192e+00  5.00212077e-01  0.00000000e+00 
 5.50192978e-05  1.80279287e+00  5.00220077e-01  0.00000000e+00 
 5.70192978e-05  1.79727184e+00  5.00228077e-01  0.00000000e+00 
 5.90192978e-05  1.80279294e+00  5.00236077e-01  0.00000000e+00 
 6.10192978e-05  1.79727177e+00  5.00244077e-01  0.00000000e+00 
 6.30192978e-05  1.80279302e+00  5.00252077e-01  0.00000000e+00 
 6.50192978e-05  1.79727169e+00  5.00260077e-01  0.00000000e+00 
 6.70192978e-05  1.80279310e+00  5.00268077e-01  0.00000000e+00 
 6.90192978e-05  1.79727161e+00  5.00276077e-01  0.00000000e+00 
 7.10192978e-05  1.80279318e+00  5.00284077e-01  0.00000000e+00 
 7.30192978e-05  1.79727153e+00  5.00292077e-01  0.00000000e+00 
 7.50192978e-05  1.80279326e+00  5.00300077e-01  0.00000000e+00 
 7.70192978e-05  1.79727145e+00  5.00308077e-01  0.00000000e+00 
 7.90192978e-05  1.80279334e+00  5.00316077e-01  0.00000000e+00 
 8.10192978e-05  1.79727138e+00  5.00324077e-01  0.00000000e+00 
 8.30192978e-05  1.80279342e+00  5.00332077e-01  0.00000000e+00 
 8.50192978e-05  1.79727130e+00  5.00340077e-01  0.00000000e+00 
 8.70192978e-05  1.80279350e+00  5.00348077e-01  0.00000000e+00 
 8.90192978e-05  1.79727122e+00  5.00356077e-01  0.00000000e+00 
 9.10192978e-05  1.80279358e+00  5.00364077e-01  0.00000000e+00 
 9.30192978e-05  1.79727114e+00  5.00372077e-01  0.00000000e+00 
 9.50192978e-05  1.80279365e+00  5.00380077e-01  0.00000000e+00 
 9.70192978e-05  1.79727106e+00  5.00388077e-01  0.00000000e+00 
 9.90192978e-05  1.80279373e+00  5.00396077e-01  0.00000000e+00 
 1.01019298e-04  1.79727099e+00  5.00404077e-01  0.00000000e+00 
 1.03019298e-04  1.80279381e+00  5.00412077e-01  0.00000000e+00 
 1.05019298e-04  1.79727091e+00  5.00420077e-01  0.00000000e+00 
 1.07019298e-04  1.80279389e+00  5.00428077e-01  0.00000000e+00 
 1.09019298e-04  1.79727083e+00  5.00436077e-01  0.00000000e+00 
 1.11019298e-04  1.80279397e+00  5.00444077e-01  0.00000000e+00 
 1.13019298e-04  1.79727075e+00  5.00452077e-01  0.00000000e+00 
 1.15019298e-04  1.80279405e+00  5.00460077e-01  0.00000000e+00 
 1.17019298e-04  1.79727068e+00  5.00468077e-01  0.00000000e+00 
 1.19019298e-04  1.80279413e+00  5.00476077e-01  0.00000000e+00 
 1.21019298e-04  1.79727060e+00  5.00484077e-01  0.00000000e+00 
 1.23019298e-04  1.80279421e+00  5.00492077e-01  0.00000000e+00 
 1.25019298e-04  1.79727052e+00  5.00500077e-01  0.00000000e+00 
 1.27019298e-04  1.80279428e+00  5.00508077e-01  0.00000000e+00 
 1.29019298e-04  1.79727044e+00  5.00516077e-01  0.00000000e+00 
 1.31019298e-04  1.80279436e+00  5.00524077e-01  0.00000000e+00 
 1.33019298e-04  1.79727036e+00  5.00532077e-01  0.00000000e+00 
 1.35019298e-04  1.80279444e+00  5.00540077e-01  0.00000000e+00 
 1.37019298e-04  1.79727029e+00  5.00548077e-01  0.00000000e+00 
 1.39019298e-04  1.80279452e+00  5.00556077e-01  0.00000000e+00 
 1.41019298e-04  1.79727021e+00  5.00564077e-01  0.00000000e+00 
 1.43019298e-04  1.80279460e+00  5.00572077e-01  0.00000000e+00 
 1.45019298e-04  1.79727013e+00  5.00580077e-01  0.00000000e+00 
 1.47019298e-04  1.80279468e+00  5.00588077e-01  0.00000000e+00 
 1.49019298e-04  1.79727005e+00  5.00596077e-01  0.00000000e+00 
 1.51019298e-04  1.80279476e+00  5.00604077e-01  0.00000000e+00 
 1.53019298e-04  1.79726998e+00  5.00612077e-01  0.00000000e+00 
 1.55019298e-04  1.80279484e+00  5.00620077e-01  0.00000000e+00 
 1.57019298e-04  1.79726990e+00  5.00628077e-01  0.00000000e+00 
 1.59019298e-04  1.80279492e+00  5.00636077e-01  0.00000000e+00 
 1.61019298e-04  1.79726982e+00  5.00644077e-01  0.00000000e+00 
 1.63019298e-04  1.80279499e+00  5.00652077e-01  0.00000000e+00 
 1.65019298e-04  1.79726974e+00  5.00660077e-01  0.00000000e+00 
 1.67019298e-04  1.80279507e+00  5.00668077e-01  0.00000000e+00 
 1.69019298e-04  1.79726966e+00  5.00676077e-01  0.00000000e+00 
 1.71019298e-04  1.80279515e+00  5.00684077e-01  0.00000000e+00 
 1.73019298e-04  1.79726959e+00  5.00692077e-01  0.00000000e+00 
 1.75019298e-04  1.80279523e+00  5.00700077e-01  0.00000000e+00 
 1.77019298e-04  1.79726951e+00  5.00708077e-01  0.00000000e+00 
 1.79019298e-04  1.80279531e+00  5.00716077e-01  0.00000000e+00 
 1.81019298e-04  1.79726943e+00  5.00724077e-01  0.00000000e+00 
 1.83019298e-04  1.80279539e+00  5.00732077e-01  0.00000000e+00 
 1.85019298e-04  1.79726935e+00  5.00740077e-01  0.00000000e+00 
 1.87019298e-04  1.80279547e+00  5.00748077e-01  0.00000000e+00 
 1.89019298e-04  1.79726927e+00  5.00756077e-01  0.00000000e+00 
 1.91019298e-04  1.80279555e+00  5.00764077e-01  0.00000000e+00 
 1.93019298e-04  1.79726920e+00  5.00772077e-01  0.00000000e+00 
 1.95019298e-04  1.80279562e+00  5.00780077e-01  0.00000000e+00 
 1.97019298e-04  1.79726912e+00  5.00788077e-01  0.00000000e+00 
 1.99019298e-04  1.80279570e+00  5.00796077e-01  0.00000000e+00 
 2.00000000e-04  1.79726900e+00  5.00800000e-01  0.00000000e+00 
 2.00200000e-04  1.80000008e+00 -9.91992000e-02  6.00000000e-01 
 2.00600000e-04  8.12842437e-05 -9.91976000e-02  6.00000000e-01 
 2.00945579e-04 -7.77830793e-05 -9.91962177e-02  6.00000000e-01 
 2.01321377e-04  7.78045036e-05 -9.91947145e-02  6.00000000e-01 
 2.01910040e-04 -7.77688616e-05 -9.91923598e-02  6.00000000e-01 
 2.02879708e-04  7.77960132e-05 -9.91884812e-02  6.00000000e-01 
 2.04819044e-04 -7.77637919e-05 -9.91807238e-02  6.00000000e-01 
 2.06819044e-04  7.77927467e-05 -9.91727238e-02  6.00000000e-01 
 2.08819044e-04 -7.77604924e-05 -9.91647238e-02  6.00000000e-01 
 2.10819044e-04  7.77895308e-05 -9.91567238e-02  6.00000000e-01 
 2.12819044e-04 -7.77571940e-05 -9.91487238e-02  6.00000000e-01 
 2.14819044e-04  7.77863139e-05 -9.91407238e-02  6.00000000e-01 
 2.16819044e-04 -7.77538966e-05 -9.91327238e-02  6.00000000e-01 
 2.18819044e-04  7.77830960e-05 -9.91247238e-02  6.00000000e-01 
 2.20819044e-04 -7.77506001e-05 -9.91167238e-02  6.00000000e-01 
 2.22819044e-04  7.77798773e-05 -9.91087238e-02  6.00000000e-01 
 2.24819044e-04 -7.77473046e-05 -9.91007238e-02  6.00000000e-01 
 2.26819044e-04  7.77766576e-05 -9.90927238e-02  6.00000000e-01 
 2.28819044e-04 -7.77440100e-05 -9.90847238e-02  6.00000000e-01 
 2.30819044e-04  7.77734371e-05 -9.90767238e-02  6.00000000e-01 
 2.32819044e-04 -7.77407163e-05 -9.90687238e-02  6.00000000e-01 
 2.34819044e-04  7.77702158e-05 -9.90607238e-02  6.00000000e-01 
 2.36819044e-04 -7.77374235e-05 -9.90527238e-02  6.00000000e-01 
 2.38819044e-04  7.77669936e-05 -9.90447238e-02  6.00000000e-01 
 2.40819044e-04 -7.77341315e-05 -9.90367238e-02  6.00000000e-01 
 2.42819044e-04  7.77637706e-05 -9.90287238e-02  6.00000000e-01 
 2.44819044e-04 -7.77308403e-05 -9.90207238e-02  6.00000000e-01 
 2.46819044e-04  7.77605469e-05 -9.90127238e-02  6.00000000e-01 
 2.48819044e-04 -7.77275500e-05 -9.90047238e-02  6.00000000e-01 
 2.50819044e-04  7.77573224e-05 -9.89967238e-02  6.00000000e-01 
 2.52819044e-04 -7.77242604e-05 -9.89887238e-02  6.00000000e-01 
 2.54819044e-04  7.77540971e-05 -9.89807238e-02  6.00000000e-01 
 2.56819044e-04 -7.77209716e-05 -9.89727238e-02  6.00000000e-01 
 2.58819044e-04  7.77508712e-05 -9.89647238e-02  6.00000000e-01 
 2.60819044e-04 -7.77176835e-05 -9.89567238e-02  6.00000000e-01 
 2.62819044e-04  7.77476445e-05 -9.89487238e-02  6.00000000e-01 
 2.64819044e-04 -7.77143962e-05 -9.89407238e-02  6.00000000e-01 
 2.66819044e-04  7.77444172e-05 -9.89327238e-02  6.00000000e-01 
 2.68819044e-04 -7.77111096e-05 -9.89247238e-02  6.00000000e-01 
 2.70819044e-04  7.77411893e-05 -9.89167238e-02  6.00000000e-01 
 2.72819044e-04 -7.77078237e-05 -9.89087238e-02  6.00000000e-01 
 2.74819044e-04  7.77379607e-05 -9.89007238e-02  6.00000000e-01 
 2.76819044e-04 -7.77045385e-05 -9.88927238e-02  6.00000000e-01 
 2.78819044e-04  7.77347314e-05 -9.88847238e-02  6.00000000e-01 
 2.80819044e-04 -7.77012540e-05 -9.88767238e-02  6.00000000e-01 
 2.82819044e-04  7.77315016e-05 -9.88687238e-02  6.00000000e-01 
 2.84819044e-04 -7.76979701e-05 -9.88607238e-02  6.00000000e-01 
 2.86819044e-04  7.77282712e-05 -9.88527238e-02  6.00000000e-01 
 2.88819044e-04 -7.76946868e-05 -9.88447238e-02  6.00000000e-01 
 2.90819044e-04  7.77250402e-05 -9.88367238e-02  6.00000000e-01 
 2.92819044e-04 -7.76914042e-05 -9.88287238e-02  6.00000000e-01 
 2.94819044e-04  7.77218087e-05 -9.88207238e-02  6.00000000e-01 
 2.96819044e-04 -7.76881221e-05 -9.88127238e-02  6.00000000e-01 
 2.98819044e-04  7.77185766e-05 -9.88047238e-02  6.00000000e-01 
 3.00819044e-04 -7.76848407e-05 -9.87967238e-02  6.00000000e-01 
 3.02819044e-04  7.77153440e-05 -9.87887238e-02  6.00000000e-01 
 3.04819044e-04 -7.76815599e-05 -9.87807238e-02  6.00000000e-01 
 3.06819044e-04  7.77121109e-05 -9.87727238e-02  6.00000000e-01 
 3.08819044e-04 -7.76782796e-05 -9.87647238e-02  6.00000000e-01 
 3.10819044e-04  7.77088773e-05 -9.87567238e-02  6.00000000e-01 
 3.12819044e-04 -7.76749998e-05 -9.87487238e-02  6.00000000e-01 
 3.14819044e-04  7.77056433e-05 -9.87407238e-02  6.00000000e-01 
 3.16819044e-04 -7.76717207e-05 -9.87327238e-02  6.00000000e-01 
 3.18819044e-04  7.77024087e-05 -9.87247238e-02  6.00000000e-01 
 3.20819044e-04 -7.76684420e-05 -9.87167238e-02  6.00000000e-01 
 3.22819044e-04  7.76991738e-05 -9.87087238e-02  6.00000000e-01 
 3.24819044e-04 -7.76651639e-05 -9.87007238e-02  6.00000000e-01 
 3.26819044e-04  7.76959383e-05 -9.86927238e-02  6.00000000e-01 
 3.28819044e-04 -7.76618863e-05 -9.86847238e-02  6.00000000e-01 
 3.30819044e-04  7.76927025e-05 -9.86767238e-02  6.00000000e-01 
 3.32819044e-04 -7.76586092e-05 -9.86687238e-02  6.00000000e-01 
 3.34819044e-04  7.76894662e-05 -9.86607238e-02  6.00000000e-01 
 3.36819044e-04 -7.76553326e-05 -9.86527238e-02  6.00000000e-01 
 3.38819044e-04  7.76862296e-05 -9.86447238e-02  6.00000000e-01 
 3.40819044e-04 -7.76520564e-05 -9.86367238e-02  6.00000000e-01 
 3.42819044e-04  7.76829925e-05 -9.86287238e-02  6.00000000e-01 
 3.44819044e-04 -7.76487808e-05 -9.86207238e-02  6.00000000e-01 
 3.46819044e-04  7.76797551e-05 -9.86127238e-02  6.00000000e-01 
 3.48819044e-04 -7.76455056e-05 -9.86047238e-02  6.00000000e-01 
 3.50819044e-04  7.76765173e-05 -9.85967238e-02  6.00000000e-01 
 3.52819044e-04 -7.76422308e-05 -9.85887238e-02  6.00000000e-01 
 3.54819044e-04  7.76732791e-05 -9.85807238e-02  6.00000000e-01 
 3.56819044e-04 -7.76389565e-05 -9.85727238e-02  6.00000000e-01 
 3.58819044e-04  7.76700406e-05 -9.85647238e-02  6.00000000e-01 
 3.60819044e-04 -7.76356826e-05 -9.85567238e-02  6.00000000e-01 
 3.62819044e-04  7.76668018e-05 -9.85487238e-02  6.00000000e-01 
 3.64819044e-04 -7.76324092e-05 -9.85407238e-02  6.00000000e-01 
