 time            v(Q)            v(A)-v(B)       v(B)           
 0.00000000e+00  1.07063102e-08  1.20000000e+00  0.00000000e+00 
 1.00000000e-09  1.07063102e-08  1.20000000e+00  0.00000000e+00 
 2.00000000e-09  1.07063101e-08  1.20000001e+00  0.00000000e+00 
 4.00000000e-09  1.07063101e-08  1.20000002e+00  0.00000000e+00 
 8.00000000e-09  1.07063101e-08  1.20000003e+00  0.00000000e+00 
 1.60000000e-08  1.07063101e-08  1.20000006e+00  0.00000000e+00 
 3.20000000e-08  1.07063102e-08  1.20000013e+00  0.00000000e+00 
 6.40000000e-08  1.07063101e-08  1.20000026e+00  0.00000000e+00 
 1.00000000e-07  1.07063102e-08  1.20000040e+00  0.00000000e+00 
 1.00010000e-07  1.61468500e-05  1.20000040e+00  0.00000000e+00 
 1.00030000e-07 -1.28213855e-05  1.20000040e+00  0.00000000e+00 
 1.00070000e-07 -1.19480465e-04  1.20000040e+00  0.00000000e+00 
 1.00100000e-07 -1.08138346e-05  1.20000040e+00  0.00000000e+00 
 1.00107601e-07  2.80203244e-04  1.20000040e+00  0.00000000e+00 
 1.00122802e-07  7.15649142e-04  1.20000040e+00  0.00000000e+00 
 1.00153205e-07  5.75437883e-04  1.20000040e+00  0.00000000e+00 
 1.00214011e-07 -8.24650655e-03  1.20000040e+00  0.00000000e+00 
 1.00291443e-07  8.87252495e-01  1.20000040e+00  0.00000000e+00 
 1.00386377e-07  1.78656383e+00  1.20000040e+00  0.00000000e+00 
 1.00487248e-07  1.79736327e+00  1.20000040e+00  0.00000000e+00 
 1.00595139e-07  1.80960003e+00  1.20000040e+00  0.00000000e+00 
 1.00767409e-07  1.78858138e+00  1.20000040e+00  0.00000000e+00 
 1.00943979e-07  1.81311962e+00  1.20000040e+00  0.00000000e+00 
 1.01232186e-07  1.78677133e+00  1.20000040e+00  0.00000000e+00 
 1.01612708e-07  1.81371629e+00  1.20000041e+00  0.00000000e+00 
 1.02164625e-07  1.78645956e+00  1.20000041e+00  0.00000000e+00 
 1.03004141e-07  1.81379944e+00  1.20000041e+00  0.00000000e+00 
 1.04378921e-07  1.78641006e+00  1.20000042e+00  0.00000000e+00 
 1.07007500e-07  1.81380180e+00  1.20000043e+00  0.00000000e+00 
 1.11576232e-07  1.78640372e+00  1.20000045e+00  0.00000000e+00 
 1.19897803e-07  1.81379974e+00  1.20000048e+00  0.00000000e+00 
 1.35695278e-07  1.78640262e+00  1.20000054e+00  0.00000000e+00 
 1.67290228e-07  1.81379893e+00  1.20000067e+00  0.00000000e+00 
 2.30480127e-07  1.78640236e+00  1.20000092e+00  0.00000000e+00 
 3.56859925e-07  1.81379872e+00  1.20000143e+00  0.00000000e+00 
 6.09619522e-07  1.78640235e+00  1.20000244e+00  0.00000000e+00 
 1.11513872e-06  1.81379866e+00  1.20000446e+00  0.00000000e+00 
 2.12617710e-06  1.78640234e+00  1.20000850e+00  0.00000000e+00 
 4.12617710e-06  1.81379865e+00  1.20001650e+00  0.00000000e+00 
 6.12617710e-06  1.78636895e+00  1.20002450e+00  0.00000000e+00 
 8.12617710e-06  1.81379735e+00  1.20003250e+00  0.00000000e+00 
 1.01261771e-05  1.78636899e+00  1.20004050e+00  0.00000000e+00 
 1.21261771e-05  1.81379735e+00  1.20004850e+00  0.00000000e+00 
 1.41261771e-05  1.78636899e+00  1.20005650e+00  0.00000000e+00 
 1.61261771e-05  1.81379734e+00  1.20006450e+00  0.00000000e+00 
 1.81261771e-05  1.78636899e+00  1.20007250e+00  0.00000000e+00 
 2.01261771e-05  1.81379733e+00  1.20008050e+00  0.00000000e+00 
 2.21261771e-05  1.78636899e+00  1.20008850e+00  0.00000000e+00 
 2.41261771e-05  1.81379732e+00  1.20009650e+00  0.00000000e+00 
 2.61261771e-05  1.78636899e+00  1.20010450e+00  0.00000000e+00 
 2.81261771e-05  1.81379731e+00  1.20011250e+00  0.00000000e+00 
 3.01261771e-05  1.78636899e+00  1.20012050e+00  0.00000000e+00 
 3.21261771e-05  1.81379730e+00  1.20012850e+00  0.00000000e+00 
 3.41261771e-05  1.78636899e+00  1.20013650e+00  0.00000000e+00 
 3.61261771e-05  1.81379729e+00  1.20014450e+00  0.00000000e+00 
 3.81261771e-05  1.78636899e+00  1.20015250e+00  0.00000000e+00 
 4.01261771e-05  1.81379728e+00  1.20016050e+00  0.00000000e+00 
 4.21261771e-05  1.78636899e+00  1.20016850e+00  0.00000000e+00 
 4.41261771e-05  1.81379727e+00  1.20017650e+00  0.00000000e+00 
 4.61261771e-05  1.78636899e+00  1.20018450e+00  0.00000000e+00 
 4.81261771e-05  1.81379726e+00  1.20019250e+00  0.00000000e+00 
 5.01261771e-05  1.78636899e+00  1.20020050e+00  0.00000000e+00 
 5.21261771e-05  1.81379725e+00  1.20020850e+00  0.00000000e+00 
 5.41261771e-05  1.78636899e+00  1.20021650e+00  0.00000000e+00 
 5.61261771e-05  1.81379724e+00  1.20022450e+00  0.00000000e+00 
 5.81261771e-05  1.78636899e+00  1.20023250e+00  0.00000000e+00 
 6.01261771e-05  1.81379723e+00  1.20024050e+00  0.00000000e+00 
 6.21261771e-05  1.78636899e+00  1.20024850e+00  0.00000000e+00 
 6.41261771e-05  1.81379722e+00  1.20025650e+00  0.00000000e+00 
 6.61261771e-05  1.78636899e+00  1.20026450e+00  0.00000000e+00 
